index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
307,36.9,"37.3, 39.9, 36.5, 36.4, 36.5, 36.4, 36.4, 36.6, 36.5, 36.9, 36.9",1.0,11
308,146.7,"147.4, 146",1.0,2
309,40.0,"41.1, 36.8, 41, 40.7, 40.1, 40.4, 40, 40",1.4,8
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,40.6,"42.9, 41.1, 34.5, 41.3, 41.5, 41.7, 41.4, 40.6, 40.6",2.4,9
316,,,,
317,56.7,"57.4, 56.9, 57.2, 56.5, 56.6, 56.6, 56.1, 56.4, 56.7, 56.7",0.4,10
318,140.2,"141.6, 138.8",2.0,2
319,,,,
320,,,,
321,,,,
322,,,,
323,31.5,"33.4, 33.6, 33.9, 23.1, 27.9, 32.7, 32.8, 32.8, 33.2, 31.5, 31.5",3.2,11
324,,,,
325,51.9,"52.4, 51.7, 51.6, 52, 52.1, 51.7, 51.9, 51.9",0.3,8
326,,,,
327,,,,
328,,,,
329,150.6,"149.9, 151.2",0.9,2
330,,,,
331,,,,
332,19.4,"20.8, 18.9, 19.3, 18.6, 19.4, 19.4",0.8,6
333,,,,
334,,,,
335,,,,
336,,,,
337,53.1,"53.6, 54.3, 45.5, 54.2, 54.1, 54.1, 54.3, 54.2, 54, 53.1, 53.1",2.6,11
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,50.1,"49.6, 49.6, 50.1, 49.4, 52.9, 48.9, 50.1, 50.1",1.2,8
345,114.1,"114.3, 113.8",0.4,2
346,,,,
347,,,,
348,,,,
349,,,,
350,107.6,"107.7, 107.5, 107.6",0.1,3
351,,,,
352,,,,
353,,,,
354,,,,
355,54.0,"53.4, 52.5, 52.7, 52.7, 54.7, 58.6, 53.5, 54, 54",1.9,9
356,55.0,"57.7, 47.6, 47.7, 57.6, 57.9, 58.2, 56.9, 56.3, 55, 55",4.0,10
357,,,,
358,,,,
359,82.5,"82.2, 82.7, 82.5",0.3,3
360,,,,
361,34.2,"33.2, 32, 37.6, 28.9, 32.9, 33.2, 33.1, 33.5, 38.2, 39.2, 34.2, 34.2",2.9,12
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,154.6,"155.7, 153.6",1.5,2
368,,,,
369,,,,
370,,,,
371,,,,
372,43.8,"44.5, 36.8, 40, 43.8, 44.2, 48.8, 46.4, 46.1, 43.8, 43.8",3.4,10
373,,,,
374,119.8,"118.5, 121, 119.8",1.3,3
375,58.6,"59.8, 49.3, 59, 60, 60.4, 59.9, 59.9, 60.3, 58.6, 58.6",3.3,10
376,,,,
377,57.2,"57.4, 56.7, 46.5, 56, 56.3, 56.5, 62.5, 61.5, 61.2, 57.2, 57.2",4.2,11
378,,,,
379,,,,
380,,,,
381,51.5,"53.8, 43.4, 53, 52.7, 53.4, 53, 51.1, 51.5, 51.5, 51.5",3.0,10
382,,,,
383,,,,
384,94.3,"94.5, 94, 94.3, 94.3",0.2,4
385,,,,
386,,,,
387,,,,
388,,,,
389,45.7,"47.6, 38.4, 46, 46.9, 47.2, 47.1, 46.2, 46.4, 45.7, 45.7",2.7,10
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,104.4,"104.3, 104.5, 104.4",0.1,3
401,,,,
402,52.7,"53.2, 53, 43.2, 53, 53.2, 52.9, 57.9, 53.8, 54.5, 52.7, 52.7",3.5,11
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,61.0,"61.4, 61.9, 50.8, 61, 62.2, 62.9, 64.3, 63, 61.5, 61, 61",3.5,11
411,,,,
412,,,,
413,,,,
414,141.1,"142.6, 139.7, 141.1, 141.1",1.2,4
415,,,,
416,76.4,"76, 76.7, 76.4",0.4,3
417,58.5,"49.5, 60, 60.3, 59.8, 59.8, 60.5, 59.9, 58.5, 58.5",3.5,9
418,,,,
419,,,,
420,41.2,"42.4, 42.4, 34.5, 40, 42.7, 42.9, 43.2, 40.4, 41.9, 41.2, 41.2",2.4,11
421,147.4,"147.2, 147.6",0.3,2
422,,,,
423,,,,
424,,,,
425,,,,
426,111.3,"110.5, 112, 111.3",0.8,3
427,,,,
428,,,,
429,,,,
430,,,,
431,66.8,"67.4, 67.2, 67.1, 66.2, 65.9, 66.8, 66.8",0.5,7
432,,,,
433,,,,
434,,,,
435,34.6,"30, 35, 35.9, 36.2, 35.5, 34.8, 34.6, 34.6",1.9,8
436,,,,
437,,,,
438,66.1,"62.2, 68.1, 65.4, 68.4, 66.2, 66.1, 66.1",2.0,7
439,,,,
440,,,,
441,65.9,"66, 67.3, 65.5, 66, 65.1, 65.2, 65.9, 65.9",0.7,8
442,,,,
443,,,,
444,,,,
445,50.7,"16.4, 16.8, 16.5, 43.2, 64, 74.6, 73.5, 88, 63.4, 50.7, 50.7",25.2,11
446,140.0,"139.2, 140.7, 140",0.8,3
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,135.1,"132.5, 137.6",3.6,2
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,73.2,"72.3, 74.1, 73.2, 73.2",0.7,4
464,,,,
465,,,,
466,64.3,"67.8, 60.8",4.9,2
467,,,,
468,71.5,"71.5, 71.2, 71.8, 71.1, 72.5, 70.8, 71.5, 71.5",0.5,8
