Sample_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Sample_Species,index,label,MaternalLine,FlowerHead,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Adapted_Longitude,Adapted_Latitude,PC1_variance,PC2_variance,shape_number
Boltonia_233,0.0194623,-0.00313854,3.64599e-4,-0.0145561,-0.0208914,0.00254319,-0.00437951,0.0488559,0.00149353,-0.00108114,B. decurrens,233,8-1-4,2011-2623-1,14B,Illinois,Hennepin,NA,NA,41.34414603458205,-89.55849691836283,-89.55849691836283,41.34414603458205,4.494366810369465,1.7090556653626248,23
Boltonia_234,0.0151955,-0.00185747,0.00241548,-0.00470998,-0.00643993,2.83219e-5,-2.24773e-4,0.00917281,-3.39936e-4,-2.55513e-4,B. decurrens,234,4-5-12,2011-2659-1,15A,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,-90.429571958886,40.07116308939078,4.494366810369465,1.7090556653626248,23
Boltonia_235,0.0158459,-0.00116488,0.00217067,-0.00668248,-0.00831249,5.34353e-4,-6.07581e-4,0.00838456,-0.00179395,6.47377e-4,B. decurrens,235,3-1-3,2011-2675-1,15B,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,-90.4275,40.0672223,4.494366810369465,1.7090556653626248,23
Boltonia_236,0.0160585,-0.00148971,0.00106011,-0.00324517,-0.00382314,1.05882e-4,-6.48549e-4,0.00751888,-8.31024e-4,-2.001e-4,B. decurrens,236,2-5-3,2011-2638-1,20C,Illinois,Scott,39.7852777,-90.5902777,39.786569766256626,-90.58910563509704,-90.5902777,39.7852777,4.494366810369465,1.7090556653626248,23
Boltonia_237,0.0159081,-0.0018187,9.6587e-4,-0.0064677,-0.00843041,9.85978e-4,-4.06601e-4,0.00909075,-5.55645e-5,-0.00137555,B. decurrens,237,4-6-1,2011-2659-1,2A,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,-90.429571958886,40.07116308939078,4.494366810369465,1.7090556653626248,23
Boltonia_238,0.0154431,-0.00178076,0.00186225,-0.00427315,-0.00747122,0.00157628,1.47761e-4,0.00701487,-5.57776e-4,0.00268319,B. decurrens,238,1-4-10,2011-2659-1,5A,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,-90.429571958886,40.07116308939078,4.494366810369465,1.7090556653626248,23
Boltonia_239,0.0152649,-0.00181756,0.00121944,-0.00495283,-0.00639635,6.11289e-4,-0.00182181,0.0123506,1.72346e-4,-4.71286e-4,B. decurrens,239,8-2-7,2011-2659-1,11A,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,-90.429571958886,40.07116308939078,4.494366810369465,1.7090556653626248,23
Boltonia_240,0.0177494,-0.00194135,0.00193125,-0.0127813,-0.0182465,0.00146962,-0.00457816,0.032993,-3.904e-4,2.75431e-4,B. decurrens,240,3-5-8,2011-2661-1,2A,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,-89.54394792156027,40.69584983597212,4.494366810369465,1.7090556653626248,23
Boltonia_241,0.0151352,-9.34816e-4,0.0012633,-0.0046931,-0.0065521,0.00108491,-7.74472e-4,0.0104297,8.43861e-4,3.58533e-4,B. decurrens,241,2-4-3,2011-2666-1,18A,Illinois,Fulton,40.4925,-89.9022222,40.46699902833787,-89.9485498557629,-89.9022222,40.4925,4.494366810369465,1.7090556653626248,23
Boltonia_242,0.0152713,-9.26706e-4,0.00171798,-0.00398846,-0.00733574,5.09656e-4,-9.60345e-4,0.00763142,-7.21216e-4,3.86207e-4,B. decurrens,242,7-4-10,2011-2659-1,9A,Illinois,Frederick,NA,NA,40.07116308939078,-90.429571958886,-90.429571958886,40.07116308939078,4.494366810369465,1.7090556653626248,23
Boltonia_243,0.0150778,-0.00119195,0.00127085,-0.00471228,-0.00470651,0.00113367,-0.00225269,0.00976977,6.62539e-4,2.10473e-4,B. decurrens,243,6-1-5,2011-2666-1,7B,Illinois,Fulton,40.4925,-89.9022222,40.46699902833787,-89.9485498557629,-89.9022222,40.4925,4.494366810369465,1.7090556653626248,23
Boltonia_244,0.0126656,-9.52556e-4,0.00122648,0.003083,0.00455294,-0.00140712,-8.91802e-5,0.00693324,-0.00182417,0.00185212,B. decurrens,244,8-5-1,2011-2620-1,12B,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839,-90.55308508241012,-90.5533333,39.8672223,4.494366810369465,1.7090556653626248,23
Boltonia_245,0.0123402,-0.00127068,8.87963e-4,0.00266518,0.00331271,3.2253e-6,-0.00134083,0.00929031,5.41525e-4,0.00170746,B. decurrens,245,10-5-2,2011-2620-1,27A,Illinois,Morgan,39.8672223,-90.5533333,39.87546015928839,-90.55308508241012,-90.5533333,39.8672223,4.494366810369465,1.7090556653626248,23
Boltonia_246,0.020086,-0.00216269,-1.43801e-4,-0.0203283,-0.0318151,0.00520799,0.0155984,-0.127992,-0.00150452,-7.54967e-4,B. decurrens,246,3-2-2,2011-2613-1,29A,Illinois,Fulton,40.2047222,-90.1994444,40.20813714639404,-90.18724497777134,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_247,-4.24196e-4,0.00168646,0.0012456,0.0728575,0.127248,-0.0236747,-0.00593888,-0.0265616,0.0102912,-0.0550528,B. decurrens,247,3-2-12,2011-2635-1,28,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_248,-0.00101152,0.00181283,4.93966e-4,0.0728897,0.123343,-0.0221994,-0.0050564,-0.0241566,0.00941875,-0.0511606,B. decurrens,248,8-4-1,2011-2635-1,26,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_249,0.0185771,-0.0028278,0.00306128,-0.0127889,-0.0173025,0.00240921,-0.00415278,0.034375,3.45727e-5,-8.98423e-4,B. decurrens,249,10-3-1,2011-2661-1,23A,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,-89.54394792156027,40.69584983597212,4.494366810369465,1.7090556653626248,23
Boltonia_250,0.0190149,-0.00152925,0.0023667,-0.00910666,-0.012621,0.00282558,-0.00120223,0.0115231,-0.00107286,-0.00117088,B. decurrens,250,8-5-7,2011-2598-1,S6B,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_251,0.0153912,-5.36689e-4,0.00106176,-0.00363211,-0.00284868,-8.56529e-4,-6.59162e-4,0.0116132,-5.82568e-4,-3.5676e-4,B. decurrens,251,12-5-3,2011-2638-1,17A,Illinois,Scott,39.7852777,-90.5902777,39.786569766256626,-90.58910563509704,-90.5902777,39.7852777,4.494366810369465,1.7090556653626248,23
Boltonia_252,-0.139232,0.0978626,0.0422143,-0.0496957,0.00659842,0.0165474,0.00194653,1.63475e-4,0.0124333,0.007553,B. decurrens,252,6-6-4,2011-2636-1,10,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_253,-0.00684895,0.00497765,5.46772e-4,0.0577628,0.071163100000000007,-0.0143616,0.00177053,-0.00342683,-8.60952e-4,0.0221384,B. decurrens,253,2-6-11,2011-2675-1,25A,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,-90.4275,40.0672223,4.494366810369465,1.7090556653626248,23
Boltonia_254,0.0168596,-0.00261074,0.00180732,-0.00631015,-0.00610751,6.21167e-4,-0.00202606,0.0100015,-0.00128483,-9.70008e-4,B. decurrens,254,2-5-2,2011-2638-1,20C,Illinois,Scott,39.7852777,-90.5902777,39.786569766256626,-90.58910563509704,-90.5902777,39.7852777,4.494366810369465,1.7090556653626248,23
Boltonia_255,-0.00497509,0.00358548,-0.00102403,0.0534731,0.0678221,-0.0124259,-8.842e-4,-0.0029888,-0.00124496,0.0142395,B. decurrens,255,10-4-3,2011-2599-1,27,Illinois,Saint Clair,38.6494444,-90.1161111,38.651507278988504,-90.10298738781108,-90.1161111,38.6494444,4.494366810369465,1.7090556653626248,23
